student_id,first_name,last_name,dob,email,phone,address,program_id,enrollment_date
1,Samantha,Carter,2003-08-12,raymondsantiago@yahoo.com,677.453.1740,East Kyle,5,2023-09-01
2,Jacqueline,Lee,2001-01-16,thomas79@yahoo.com,8019058432,Franklinview,2,2023-09-01
3,Bridget,Hamilton,2000-05-04,stephenssamuel@weber.info,447-179-0225x277,South Michael,5,2023-09-01
4,Michael,Thompson,2005-08-18,angela45@hotmail.com,(322)152-3362x8381,Lake Robertshire,4,2023-09-01
5,Heather,Reyes,2002-01-03,diazamanda@morgan.com,+1-814-951-9270,Smithstad,4,2023-09-01
6,Robert,Davis,2002-01-25,belllynn@yahoo.com,(240)867-8808x145,West Bradley,4,2023-09-01
7,Jeffrey,Jackson,2006-03-05,tstevens@taylor-haley.org,570.827.1915x903,North Michelle,5,2023-09-01
8,Michelle,Potter,1999-01-12,jonathan35@hotmail.com,6077384408,New Jeremiahhaven,3,2023-09-01
9,Carrie,Zimmerman,2006-10-12,nboyer@gmail.com,001-082-689-6409x6013,Coxstad,4,2023-09-01
10,Jesse,Torres,2006-07-14,kevinhill@gmail.com,(332)469-0886x2735,Sarahfort,4,2023-09-01
11,Joseph,James,2006-11-28,stokeswilliam@jackson.net,521.905.2412x153,New Angela,5,2023-09-01
12,Susan,Little,2006-06-17,christina05@ellis-robinson.info,+1-204-560-3426,Danielbury,1,2023-09-01
13,Anna,Flores,2000-07-29,samantha76@yahoo.com,3674018957,Lake Bryan,3,2023-09-01
14,Samuel,Brewer,2002-09-17,murphymichael@lopez.com,0844076012,Lake David,3,2023-09-01
15,Jeanne,Davis,2001-11-20,bcurtis@oconnor.org,(150)055-7851x36920,South Daniel,4,2023-09-01
16,Glenn,Bailey,2000-11-28,glen05@hernandez.info,+1-404-668-0869x5450,Port Kimberly,5,2023-09-01
17,Erik,Hall,2004-03-11,brian98@gmail.com,2763736188,Katherineview,3,2023-09-01
18,George,Choi,2002-12-14,nlutz@young-keith.org,725-862-2075x4575,Lake James,2,2023-09-01
19,Christopher,Rhodes,1999-09-12,tannerrichards@scott.com,954-058-8878,South Christinamouth,5,2023-09-01
20,Katrina,Wheeler,2000-10-04,allendebra@keller-fisher.com,(178)109-7856,Lake Jerry,3,2023-09-01
21,Javier,Rodriguez,2003-08-14,steven52@orozco.com,409-106-3951x613,Donaldborough,3,2023-09-01
22,Kenneth,Weeks,2002-05-14,juareztodd@gmail.com,138-562-3204,Anthonyberg,5,2023-09-01
23,Amber,Long,2002-08-06,benjaminmurphy@miller.com,0904603737,Andersonberg,4,2023-09-01
24,Daniel,Wilson,2002-05-02,romerosteven@hotmail.com,+1-987-439-4150x727,Atkinsside,4,2023-09-01
25,Amanda,Wheeler,2001-10-26,christophermoran@gmail.com,001-199-043-8288x692,Jessicaview,4,2023-09-01
26,Darlene,Reynolds,2005-01-24,jessica23@allen-yoder.net,251.523.7366,Calvinhaven,2,2023-09-01
27,Ronald,Webb,2000-06-26,gatesmeghan@peck.com,001-702-468-6021,Port Ericbury,5,2023-09-01
28,Stephanie,Woodward,2006-07-31,nicoleballard@lin.net,655.513.2166x88261,Benjaminbury,1,2023-09-01
29,Deanna,Fleming,2003-05-12,zacharyroberts@rich.com,681.264.6332x27661,New Ashley,3,2023-09-01
30,Nancy,Decker,2005-08-31,christopher06@russell-kaufman.com,001-268-324-3281,Cruzland,3,2023-09-01
31,Tricia,Cohen,2006-06-02,peter52@powell.info,369-502-1472x5106,Danielshaven,4,2023-09-01
32,Rodney,Martinez,2006-11-10,leah23@thompson.org,(020)177-5777x04144,Waltonshire,4,2023-09-01
33,Shane,Simmons,2000-03-15,yvonne90@yahoo.com,(650)646-8248x95735,East Cristian,2,2023-09-01
34,Gabriela,Cunningham,2002-01-18,alexanderstephanie@tucker.com,186.032.5801,Sierrahaven,1,2023-09-01
35,Jacob,Miller,2005-11-25,herbertdelacruz@long.info,670-170-0771x57154,Melissaside,5,2023-09-01
36,Richard,Burns,2002-05-25,natalie11@hotmail.com,409.061.5953x88402,New Morgan,1,2023-09-01
37,Rodney,Melton,2000-07-13,lisaharrison@gregory.com,6775342574,Melindahaven,3,2023-09-01
